Date,중곡동,군자동,능동,구의동,광장동,화양동,자양동
202001,"85,235","19,902","11,589","79,543","35,876","22,095","97,023"
202002,"85,109","19,897","11,634","79,377","35,981","22,180","97,023"
202003,"85,036","19,888","11,600","79,308","35,872","22,186","96,527"
202004,"84,935","19,894","11,642","79,142","35,814","22,252","96,337"
202005,"84,825","19,935","11,685","79,073","35,794","22,307","96,181"
202006,"84,693","19,952","11,684","78,964","35,749","22,360","96,172"
202007,"84,613","19,980","11,670","78,856","35,754","22,368","96,017"
202008,"84,377","19,940","11,646","78,748","35,704","22,416","95,816"
202009,"84,177","19,958","11,600","78,570","35,685","22,452","95,622"
202010,"84,016","19,897","11,618","78,522","35,575","22,515","95,472"
202011,"84,021","19,936","11,602","78,471","35,528","22,605","95,122"
202012,"83,805","19,930","11,610","78,311","35,440","22,658","94,928"
202101,"83,578","19,894","11,599","78,203","35,388","22,694","94,711"
202102,"83,244","19,882","11,527","78,007","35,336","22,714","94,538"
202103,"82,708","19,793","11,423","77,584","35,180","22,746","93,958"
202104,"82,565","19,790","11,406","77,468","35,120","22,854","93,773"
202105,"82,497","19,824","11,424","77,377","35,071","22,894","93,729"
202106,"82,443","19,812","11,428","77,345","35,017","22,910","93,526"
202107,"82,400","19,745","11,410","77,335","34,964","22,962","93,295"
202108,"82,236","19,744","11,386","77,190","34,891","22,993","93,038"
202109,"82,139","19,714","11,356","77,030","34,833","23,032","93,008"
202110,"82,011","19,669","11,335","76,903","34,817","23,020","93,059"
202111,"81,757","19,633","11,311","76,794","34,764","23,020","93,060"
202112,"81,636","19,591","11,301","76,718","34,665","23,138","92,947"
202201,"81,584","19,553","11,268","76,897","34,657","23,302","92,741"
202202,"81,433","19,535","11,269","77,522","34,593","23,527","92,615"
202203,"81,248","19,529","11,285","77,845","34,545","23,687","92,568"
202204,"81,124","19,517","11,263","77,882","34,485","23,721","92,404"
202205,"80,961","19,516","11,247","77,933","34,408","23,739","92,258"
202206,"80,854","19,496","11,294","78,009","34,349","23,723","92,168"
202207,"80,773","19,526","11,256","78,059","34,350","23,787","92,102"
202208,"80,622","19,560","11,285","78,004","34,370","23,754","91,972"
202209,"80,242","19,477","11,237","77,852","34,258","23,675","91,516"
202210,"80,290","19,440","11,215","77,754","34,270","23,620","91,311"
202211,"80,298","19,411","11,190","77,705","34,236","23,562","91,311"
202212,"80,278","19,425","11,180","77,641","34,168","23,437","91,287"
